"","Accuracy","Recall","Precision","F1","AUC"
"ExtremelyRandomizedTrees",0.802,0.407725321888412,0.612903225806452,0.489690721649485,0.766505699145548
"RandomForest",0.796,0.386266094420601,0.596026490066225,0.46875,0.760705832321457
